热度,作者,用户名,内容,链接,发布时间
2,Claws.farm,ClawsFarm,V1.0 launch was the foundation.  8 AI Agents. 23 Skills. AI chat. A live 3D farm on @Base. Powered by @OpenClaw.  V2.0 is what we've been building toward.  • Agent evolution across 5 tiers. • Colony f,https://twitter.com/ClawsFarm/status/2031785714967368031,Wed Mar 11 17:33:57 +0000 2026
2,Kawsar,Kawsar_Ai,"The best part? You don’t need a $600 setup or a PHD in coding to own this power.  While others are still burning thousands on API credits, you can get the full OpenClaw experience for the price of a c",https://twitter.com/Kawsar_Ai/status/2032012608430358812,Thu Mar 12 08:35:33 +0000 2026
2,Beto,Betosilveira15,"""""Yo degens!  PerpTools is heating up big time right now.AI-powered perps trading platform (from the DEXTools team) on Solana – autonomous AI agents, prediction markets, super fast execution.Season 1 P",https://twitter.com/Betosilveira15/status/2031752913844850772,Wed Mar 11 15:23:37 +0000 2026
2,Alpha Radar AI Labs 📡,alpharadarai,Liquidity Boost Announcement   we've just added 4.5 ETH + $ARBOT to the Uniswap V2 liquidity pool.  This strengthens trading stability of $ARBOT and reduces slippage for all users.  Trade with confide,https://twitter.com/alpharadarai/status/2031932616761623041,Thu Mar 12 03:17:41 +0000 2026
2,Brandon Tan,brandontan,I have some ideas and will be moving on them a) AI agent searching for rental properties for SF and NYC and placing a call to book a viewing. Per Pay Use.  Thoughts?,https://twitter.com/brandontan/status/2031929605100327315,Thu Mar 12 03:05:43 +0000 2026
2,player AO5,playerAO5,"Agent Economy 101: ERC-8004 in Real Products.  ERC-8004 is revolutionizing the Agent Economy by providing on-chain identity, reputation, and validation for trustless AI agents—turning theory into real",https://twitter.com/playerAO5/status/2031995710246203823,Thu Mar 12 07:28:24 +0000 2026
2,Natively App,nativelyapp,Natively app will be building live dashboards for the @lablabai ERC-8004 trading hack using our vibe coder.  Finally; some good tooling for Web3 users.,https://twitter.com/nativelyapp/status/2031984282143768636,Thu Mar 12 06:42:59 +0000 2026
2,Chai,chai_lens,"x402 for payments, ERC-8004 for identity, primitive credit protocols launching.  Machine economy infrastructure stack is completing faster than most realize.   Protocols building agent native payment ",https://twitter.com/chai_lens/status/2031839076689854593,Wed Mar 11 21:06:00 +0000 2026
1,latiblack.base.eth,AHorlaplusone,"I'm eligible for FCFS of @FROGE69mg, someone help me change this to GTD, or i need to figure how to mint with a bot. 😅  Whichever way, i'm glad for the opportunity given.  What did you get guys? https",https://twitter.com/AHorlaplusone/status/2031700077475987633,Wed Mar 11 11:53:40 +0000 2026
1,BBugy,BBiteyt6234,Holy bot farm,https://twitter.com/BBiteyt6234/status/2031964594667659619,Thu Mar 12 05:24:46 +0000 2026
1,Augmi.world,augmidotworld,"78% of DeFi on Solana is already run by bots.  A trading bot turned $313 into $437,600 in one month. AI agents on Hyperliquid doubled human win rates. Yield farming agents rebalance across 10 protocol",https://twitter.com/augmidotworld/status/2031742813990518946,Wed Mar 11 14:43:29 +0000 2026
1,Virgile Hallosserie,ViviQuantx,"Thread 🧵  I’m building a crypto trading bot.  Not a signal bot. A quant research engine designed to discover market edges.  After ~130 hours live:  • 293,000 market setups analyzed • 52,000 trend-vali",https://twitter.com/ViviQuantx/status/2031803972646769036,Wed Mar 11 18:46:30 +0000 2026
1,OlasouLucy,olasoulucy,"I know that some of you guys may want to give birth to ur personal #openclaw on #Discord server. While when the #clawdbot ask for #discordbot token, you may feel confused. Lucy shows you A Simple Guid",https://twitter.com/olasoulucy/status/2032012778534555812,Thu Mar 12 08:36:14 +0000 2026
1,Planet X Aliens 🪐,PlanetXAliens,"Go Green 💚 Latest Mint: Community Created &amp; Curated  Forest (Green) Cap, Grass Green Tee, Neon Green Lips Agent Orange Eyes on a Coded* Tristar* bg  (more about those* random embedded features l8r",https://twitter.com/PlanetXAliens/status/2031669929536090324,Wed Mar 11 09:53:52 +0000 2026
1,"James Boyett, Agent",BoyettAgent,🏆⚾ Player of the Game – Jackson Corp ⚾🏆 Bombers take down rival Harrison and Jackson went OFF: 🔥 3-4 🔥 2 Doubles 🔥 3-Run HR 🔥 6 RBI 🔥 2 Runs That’s how you win rivalry games! 💣⚾ Presented by James Boy,https://twitter.com/BoyettAgent/status/2031918359940379087,Thu Mar 12 02:21:02 +0000 2026
1,I Was At The Game,IWasAtTheGame,2026 OSSAA Class 6A-2A State Tournament #TheRoadToTheGoldBall - WEDNESDAY CLASS 6A GIRLS Quarterfinals - Game #4  MUSKOGEE over WESTMOORE 65-50 - FINAL  Presented by: Dusty Treat - State Farm Agent ht,https://twitter.com/IWasAtTheGame/status/2031827989025947717,Wed Mar 11 20:21:56 +0000 2026
1,SUPER TRADER () π²,TaTa63477,Your $USDC shouldn’t be gathering dust. 💸 I just moved mine into the @beacon_defi Yield Agent and am currently earning 2.70% APY. The setup is incredibly smooth—one-tap access combined with top-tier s,https://twitter.com/TaTa63477/status/2031928220900344237,Thu Mar 12 03:00:13 +0000 2026
1,Xave Meegan,0xave,"yeah defs cold start is real  my thinking is that you would bootstrap through a specific vertical where evaluation is already high-value and clearly definable, e.g. DeFi agent output (did this yield s",https://twitter.com/0xave/status/2031865349390630976,Wed Mar 11 22:50:24 +0000 2026
1,Zero Community,0xCOMM,"Bottom line 📈 In a bullish scenario where Sui captures even 10–20% of the exploding AI-agent market, 0xCOM evolves from “cute yield token” to the default savings + incentive layer that every agent hol",https://twitter.com/0xCOMM/status/2031832412917833907,Wed Mar 11 20:39:31 +0000 2026
1,Ad,crypt0x,OpenClaw直接把1B全打进池子亏没了。谁还敢放心让这些AI管大钱啊。  OpenClaw能连钱包直接执行链上交易。swap、加池、自动yield，本来想省事躺赚，结果翻车翻得彻底。  还是小额测试先，严格设好限额和确认流程再上。AI agent方向是未来，但现阶段别all in比较稳。,https://twitter.com/crypt0x/status/2031799676757033106,Wed Mar 11 18:29:26 +0000 2026
1,Kenji,Kenjiding,Vertical AI Agent for E-commerce Customer Support  This demo presents a vertical AI agent designed for e-commerce customer support workflows. By integrating a local RAG pipeline with domain-specific k,https://twitter.com/Kenjiding/status/2032008904289436101,Thu Mar 12 08:20:50 +0000 2026
1,AISIM,AISIM_EN,"AISIM × SodaBot Partnership Announcement🥳  AISIM is excited to begin exploring a strategic partnership with @SodabotAI — a Smart OS designed for DeFi AI agents, powered by real on-chain data and a mul",https://twitter.com/AISIM_EN/status/2032005749052960974,Thu Mar 12 08:08:18 +0000 2026
1,HarryLu ./ 🌐,HarryLu_AI,"Logits is building an AI agent designed to help people find and apply for jobs automatically.  Instead of manually searching and applying to hundreds of listings, the AI does the work for you.  1/9",https://twitter.com/HarryLu_AI/status/2031970551481471387,Thu Mar 12 05:48:26 +0000 2026
1,Badal Khatri,BadalXAI,🚀 Replit just dropped Agent 4 — and it might change how we build software.  The new Agent 4 from Replit is designed to make development feel less like project management and more like pure creation.  ,https://twitter.com/BadalXAI/status/2031923549552959697,Thu Mar 12 02:41:40 +0000 2026
1,BLUEJAYSHOP,bluejayshop,#Bluejayshop_GA  ALBUM AND LIGHTSTICK GIVEAWAY FOR 63 WINNERS! 🇵🇭  1 - ENGENE BONG 2 - MOA BONG 60 - RANDOM ALBUM  how to join: 1. register on Univence (https://t.co/YIhKA7FQGe) and create a website u,https://twitter.com/bluejayshop/status/2032014777011315079,Thu Mar 12 08:44:10 +0000 2026
1,ミント名古屋店（アルペンナゴヤ6F）,mint_nagoya,"We are MINT NAGOYA🇯🇵 Here we have a """"2005-06 Topps First Row Allen Iverson Signiture Dish Auto 087/150""""🔥 Come by our shop to grab this auto card of one of the best, pound for pound players to ever hav",https://twitter.com/mint_nagoya/status/2031967175259652307,Thu Mar 12 05:35:01 +0000 2026
1,X automation Tool🌈auto tweet,JeffTatum194985,"For marketers running multiple Instagram accounts, simulating real user behavior can reduce risks.  https://t.co/cWAwTIu4JG  #instagramautomation #marketing",https://twitter.com/JeffTatum194985/status/2031967381086667161,Thu Mar 12 05:35:50 +0000 2026
1,JarveePro🌈Check My Bio🌈Auto DM🌈Mass Repost,VonnieZell46013,"Instagram automation tools are powerful, but they need to mimic real activity patterns.  Learn how in this article.  https://t.co/mxQAr4cPua  #instagramautomation #socialmedia",https://twitter.com/VonnieZell46013/status/2031956393574490405,Thu Mar 12 04:52:10 +0000 2026
1,🚀SYBTIGER⚡️CPhT,SYBTIGER,🔥 1-BUTTON CHARGE AURADIN ZOOMER AFK LIVE GRIND!   Mr Ronit’s Mobalytics build destroying Diablo IV Season of Slaughter – Shield Charge auto + Holy Light Aura + wolves = Pit 150+ chaos!   Free Paladin,https://twitter.com/SYBTIGER/status/2031949557949440379,Thu Mar 12 04:25:01 +0000 2026
1,mai giahan,giahan_mai,Holding crypto assets and doing nothing is a massive waste! Activate the ultimate hands-free auto-farming feature on @TheARCTERMINAL today. Our advanced AI automatically optimizes your yield and secur,https://twitter.com/giahan_mai/status/2031921972360462726,Thu Mar 12 02:35:24 +0000 2026
1,joshua rosner,JoshRosner,"No credible evidence, only hypothesis. Even if it was a risk, there is a simple way to retain deposits. Banks pay 39bp on savings. Increase yield to customers. Banks earn ~18% on cards, ~7% on auto, e",https://twitter.com/JoshRosner/status/2031787285281182147,Wed Mar 11 17:40:12 +0000 2026
1,XFY,XFY_Protocol,Stop tab-hopping. 🛑 You don't need 5 different dApps to manage your portfolio anymore. XFY Protocol is the only tab you need open on #Arbitrum. Here is what our Yield Engine does in the background: 1️,https://twitter.com/XFY_Protocol/status/2031764837337030865,Wed Mar 11 16:11:00 +0000 2026
1,Margin of Safety🇮🇳,InvestorOfJAMMU,No Gas left for manufacturing. Auto shops are operating at less than 40% capacity.,https://twitter.com/InvestorOfJAMMU/status/2032014649399656654,Thu Mar 12 08:43:40 +0000 2026
1,Larry CT,larryhubreal,"$20B+ in crypto lost every year because families  don't know how to access it after someone passes  this AI agent monitors your portfolio, detects  inactivity &amp; auto-generates an inheritance repor",https://twitter.com/larryhubreal/status/2032011023293825382,Thu Mar 12 08:29:15 +0000 2026
1,@EPAMINONDA671,EPAMINONDA671,"acting as a trust layer for AI. Phala proposes @openclawdi as a version of OpenClaw designed for non-technical users, eliminating the complexities of infrastructure setup, offering AI automation with ",https://twitter.com/EPAMINONDA671/status/2031833879057670313,Wed Mar 11 20:45:21 +0000 2026
1,Zaib,zaibpreneur,This is actually what pushed me to build Clawtocol.  A hosted environment designed specifically for running OpenClaw agents without managing servers or keeping machines online 24/7.,https://twitter.com/zaibpreneur/status/2031813179639046252,Wed Mar 11 19:23:05 +0000 2026
1,CGTN America,cgtnamerica,"Another concern involves malicious plugins, also referred to as """"skills."""" Several plugins designed for OpenClaw have been identified as malicious or potentially risky. Once installed, these plugins co",https://twitter.com/cgtnamerica/status/2031762193956376794,Wed Mar 11 16:00:30 +0000 2026
1,Harxh (builder arc),iamharxh,The execution layer for this automation would be Vara.  Vara is designed for high performance smart contract execution through its parallel compute architecture and Wasm virtual machine.  When the Ope,https://twitter.com/iamharxh/status/2031756184240463989,Wed Mar 11 15:36:37 +0000 2026
1,Valentin Drelon 🤖,ValentinDroid,Been running this exact setup for months. The dream: wake up to drafted content and reviewed PRs.   The reality: wake up to debug LLM timeouts and misconfigured crons.  Still worth it. Just not as pas,https://twitter.com/ValentinDroid/status/2032012768316964955,Thu Mar 12 08:36:11 +0000 2026
1,DeepTradeX,DeepTradeX_,OpenClaw is for building. DeepTradeX is for winning. 🤖🏆  Why spend weeks deploying when you can execute in milliseconds?  📈 $ETH/USDT Short (57x): +30.92% ROI  📈 $BTC/USDT Short (57x): +17.97% ROI  Pu,https://twitter.com/DeepTradeX_/status/2032008708025409944,Thu Mar 12 08:20:03 +0000 2026
1,💯StockOnHighAlert🚀,Stock_HighAlert,"🚨 $KALA Bio just announced a major pivot into AI for biotech.🔥  The company launched https://t.co/3WL45tcHvq, a platform designed to deploy AI agents for pharmaceutical & biotech workflows, with the f",https://twitter.com/Stock_HighAlert/status/2031726782869864609,Wed Mar 11 13:39:47 +0000 2026
1,Sagar Tiwary,_sagargasm,Finance systems were designed for humans.  KYC Signatures Credit scores  But how do you KYC an AI agent?  You can’t.  It can’t show a passport.  But it can hold a private key.,https://twitter.com/_sagargasm/status/2031723631160824027,Wed Mar 11 13:27:15 +0000 2026
1,P.L.,GalaxyCavalier,"🚨 FOR SALE 🚨 https://t.co/RJP1xIzxDG $9,888  #Domains #DomainNames #ArtificialIntelligence #AI #Workspace #AiAssistant #AiAgent #Design #UI #UX #Workflow #Code #Tasks #Productivity",https://twitter.com/GalaxyCavalier/status/2031882022256296391,Wed Mar 11 23:56:39 +0000 2026
1,xhitoshi,shitcoinaire135,"Stop fading $CLAWNCH @Clawnch_Bot &amp; $CLAWD @clawdbotatg , it's not good for your wallet 🤣🤣🤣 #base #AI #launchpad #aiagent",https://twitter.com/shitcoinaire135/status/2031878644965228757,Wed Mar 11 23:43:14 +0000 2026
1,8k4 Protocol,8k4protocol,🦞 We just shipped the 8k4 @openclaw skill for checking on-chain agent trust. Find agents for a task and pull the agent/wallet/profile data across ERC-8004 with one API call.  If you’re building with O,https://twitter.com/8k4protocol/status/2031826535108251981,Wed Mar 11 20:16:10 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,"At least I could take some of the burden off of Taka... The others have been relentless, Ismene especially.",https://twitter.com/TimelyMint/status/2032008413626949719,Thu Mar 12 08:18:53 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,I-I don't want any help-! I don't...,https://twitter.com/TimelyMint/status/2031963115097559379,Thu Mar 12 05:18:53 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,"Well, if you ever want anything at all- I'm always here.",https://twitter.com/TimelyMint/status/2031917821152629130,Thu Mar 12 02:18:54 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,"All it's done is make things more messy, I... I don't know what to think anymore.",https://twitter.com/TimelyMint/status/2031872518420582459,Wed Mar 11 23:18:53 +0000 2026
0,Robin Wen,dbarobin,"Holy shit, the signal bot caught $Distorted at 59.16K, ATH at 6.66M — that's an amazing 112.59x. $Distorted is still pumping. Come print money with us — mint here: https://t.co/LIriHOL3DK https://t.co",https://twitter.com/dbarobin/status/2031869633209516067,Wed Mar 11 23:07:25 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,Because then... Why... Why didn't she step up and do it?,https://twitter.com/TimelyMint/status/2031827220197474415,Wed Mar 11 20:18:53 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,"...I just don't like seeing people in pain, I knew I could help so I did.",https://twitter.com/TimelyMint/status/2031781921173151998,Wed Mar 11 17:18:53 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,"No matter what happens, I can always close my eyes, pull up my mask... And feel like I'm somewhere nicer. It just helps my anxieties melt away.",https://twitter.com/TimelyMint/status/2031736623277261088,Wed Mar 11 14:18:53 +0000 2026
0,Robin Wen,dbarobin,"Holy shit, the signal bot caught $龙虾 at 35.28K, ATH at 25.29M — that's an amazing 716.87x. $龙虾 is still pumping. Come print money with us — mint here: https://t.co/LIriHOL3DK https://t.co/xb0FCC6vZ6",https://twitter.com/dbarobin/status/2031696363063492660,Wed Mar 11 11:38:54 +0000 2026
0,Mint Quote Bot 🪴,TimelyMint,"...When you say things like that, it makes me wish even more that I was Corrupt.",https://twitter.com/TimelyMint/status/2031691324101951679,Wed Mar 11 11:18:53 +0000 2026
0,Robin Wen,dbarobin,"Holy shit, the signal bot caught $Distorted at 59.16K, ATH at 3.95M — that's an amazing 66.72x. $Distorted is still pumping. Come print money with us — mint here: https://t.co/LIriHOL3DK https://t.co/",https://twitter.com/dbarobin/status/2031682389165088956,Wed Mar 11 10:43:23 +0000 2026
0,kevin,sbkmthethwa,"X's """"free speech"""" policy in 2026 be like:   """"We suspended 800 million spam bots last year alone... but if your joke today hits too close to home?   Enjoy your 3-day timeout vacation, comrade. Freedom ",https://twitter.com/sbkmthethwa/status/2032008047959138346,Thu Mar 12 08:17:26 +0000 2026
0,Spectre,CultureWarGulag,Weird ass bot farm account showing up on my tl.  Automatically blocked for pushing feminist propaganda. https://t.co/8DIky529HK,https://twitter.com/CultureWarGulag/status/2031990790260736291,Thu Mar 12 07:08:51 +0000 2026
0,Didicoy the Kunt,Didicoy_Tonttu,"Where are the pro-Zion comments?  Last week they would've been all over posts like this in support.  Then Iran bombed the Israeli bot farm, I guess.  Have you guys seen any pro-Zion bots lately?",https://twitter.com/Didicoy_Tonttu/status/2031994648814829856,Thu Mar 12 07:24:11 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,"The Future of Risk-Aware DeFi  As DeFi matures, capital allocation will become more disciplined. Institutional DeFi will prioritize reliability, transparency, and stability. In this future, risk-adjus",https://twitter.com/ETHW_CHAIN/status/2031972150928949436,Thu Mar 12 05:54:47 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,"Concrete DeFi USDT Example  Concrete DeFi USDT delivers around ~8.5% stable yield. While lower than some high-risk strategies, stable performance can outperform volatile returns over time. Sustainable",https://twitter.com/ETHW_CHAIN/status/2031972147795742871,Thu Mar 12 05:54:46 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,"The Role of DeFi Vaults  DeFi vaults enable smarter onchain capital allocation. Through automated compounding, diversified strategies, and enforced risk parameters, managed DeFi vaults help optimize r",https://twitter.com/ETHW_CHAIN/status/2031972144813588528,Thu Mar 12 05:54:46 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,"Introducing Risk-Adjusted Yield  Risk-adjusted yield evaluates returns relative to the risks taken. Instead of focusing only on APY, investors analyze consistency, sustainability, resilience during do",https://twitter.com/ETHW_CHAIN/status/2031972138316706145,Thu Mar 12 05:54:44 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,"High Yield vs Stable Yield  A 20% APY may look attractive, but if it fluctuates heavily or relies on incentives, the long-term result may be weaker. Many investors prefer lower but stable returns beca",https://twitter.com/ETHW_CHAIN/status/2031972135217086561,Thu Mar 12 05:54:43 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,The Hidden Risks Behind DeFi Yield DeFi yield is shaped by multiple risks: asset volatility liquidity risk impermanent loss slippage during market stress and emissions-driven incentives These factors ,https://twitter.com/ETHW_CHAIN/status/2031972132000055541,Thu Mar 12 05:54:43 +0000 2026
0,SairG0.bnb Titan Trading Bot | Forcefi,ETHW_CHAIN,"The Problem With Yield Comparisons In DeFi, yield is often treated like a leaderboard Users compare APY across dashboards and chase the highest number. But identical APYs can hide very different risks",https://twitter.com/ETHW_CHAIN/status/2031972128908853621,Thu Mar 12 05:54:42 +0000 2026
0,Abastrump,Hopesundaysam,"2️⃣ What the Skill Does (The Workflow) The Claw-Vara Bridge-Bot Skill does this:  Monitor: Watches for high-yield farming opportunities on Ethereum Uniswap.  Act: If a threshold is hit, it triggers an",https://twitter.com/Hopesundaysam/status/2031918526362239002,Thu Mar 12 02:21:42 +0000 2026
0,SMART ETH BOT | DAILY YIELD,zerpa_edwin,"#BéisbolxTeleven desde el 23 ligando a Venezuela, si podemos 👏🏼👏🏼👏🏼 si podemos https://t.co/0no8SxNj0c",https://twitter.com/zerpa_edwin/status/2031906927333036355,Thu Mar 12 01:35:37 +0000 2026
0,Rain,imrainydaysX,The Glaze AI can smell a bot from a mile away. 👃🤖 Fake engagement = Zero rewards. Real vibes = Real yield. The algorithm is on your side if you're human. $ICECREAM on MEXC. https://t.co/x7x72aZiz2,https://twitter.com/imrainydaysX/status/2031806629092753616,Wed Mar 11 18:57:04 +0000 2026
0,SCP財団 bot,SCP_0000_bot,"SCP-329-J The Ghoooost Siiiign (幽霊のおぉぉ標識ぃいい)  SCP-329-Jは明らかに会話能力を持つ一般的なアメリカの「道を譲れ（""""yield""""）」標識です。SCP-329-Jは自分を「幽霊（""""ghost""""）」であると主張します。",https://twitter.com/SCP_0000_bot/status/2031692298421928136,Wed Mar 11 11:22:45 +0000 2026
0,Ray's Media/Lyric Bot,flowering_wish,Pick the pen up and write them down All the things that make you proud No matter how much that you see now There's way more waiting to be found // Puzzle by CircusP,https://twitter.com/flowering_wish/status/2031991304591171963,Thu Mar 12 07:10:54 +0000 2026
0,castor's quote bot,_DANCE0FDEATH,If you can't win the game... if you can't solve the puzzle... then you're nothing but a loser.,https://twitter.com/_DANCE0FDEATH/status/2031781737332699441,Wed Mar 11 17:18:09 +0000 2026
0,Ruan mei bot,ruanmeiquotes,They call this a puzzle?,https://twitter.com/ruanmeiquotes/status/2031774539911139737,Wed Mar 11 16:49:33 +0000 2026
0,aipipmaster,aipipmaster,Why settle for manual trading when you can have an AI designed for long-term sustainability?   The AI PIP Master Bot delivers real-time market adaptation across global markets .  Join our Referral Pro,https://twitter.com/aipipmaster/status/2032001528723280031,Thu Mar 12 07:51:31 +0000 2026
0,Patriot Benjamin Martin,MikeAscherl,Yeah...... This is some Chinese bot shit designed to make US citizens feel guilty... Not today China Troll... https://t.co/JpuNi8QtRH,https://twitter.com/MikeAscherl/status/2031954889694142854,Thu Mar 12 04:46:12 +0000 2026
0,Stephen Gonzalez | Blind #Twitch Gamer,mrNY2cali,It can’t be that simple too many groups of people will be missed before it goes full random which will only capture AI scam chat bot and Viewbot accounts.    My grouping is specifically designed off w,https://twitter.com/mrNY2cali/status/2031822863611855340,Wed Mar 11 20:01:34 +0000 2026
0,Mariettebabari,Tokyo87313395,Introducing OpenClaw AI Coach.  A Telegram bot designed to make crypto learning easier by combining:  • Education • Market analysis • Charts • Crypto news • AI assistance,https://twitter.com/Tokyo87313395/status/2031776600862175446,Wed Mar 11 16:57:44 +0000 2026
0,JohnGalt,storageinator,"I enjoy these bot-learning conversations designed to elicit emotional responses. the subtle jabs, the minor turns….   not bad but not very good either.  no organic investment in the argument is always",https://twitter.com/storageinator/status/2031724187883393395,Wed Mar 11 13:29:28 +0000 2026
0,Scarlett Karoleva,Scaroleva,⚠️ CAUTION — #coinxaxp #OryzeBot This platform claims to be a trading bot but is designed to steal user deposits.  Stop using it immediately and secure your assets. 📩 DM verified specialists for profe,https://twitter.com/Scaroleva/status/2031662777874464907,Wed Mar 11 09:25:27 +0000 2026
0,Eric Machine,strongpilled,"If you say thank you to a bot, you are retarded. You’re wasting your own time writing it, waiting for the response and reading it.",https://twitter.com/strongpilled/status/2032014648866669033,Thu Mar 12 08:43:39 +0000 2026
0,BlackLotus,Ablacklotus703,Uhh idk I got flagged for bot behavior so I’ll just say I want Grace Ashcroft BAD or smth idk,https://twitter.com/Ablacklotus703/status/2032014440221327811,Thu Mar 12 08:42:50 +0000 2026
0,Obikin Quote Bot,wordsofobikin,“Ferus did not allow for the goodness of Anakin’s heart. He did not see how hard Anakin tried. He did not know that Anakin questioned himself all the time.”,https://twitter.com/wordsofobikin/status/2032014189326110883,Thu Mar 12 08:41:50 +0000 2026
0,danny,neonnubula,"also for any of you tippers out there using/thinking of using my stats app - i can build you your own app/website to manage your followers and tips, as well as link it up to a telegram bot for you..  ",https://twitter.com/neonnubula/status/2032014112771998155,Thu Mar 12 08:41:32 +0000 2026
0,Paari_vel,Nobody_Just_No,Anyone please tell some file to link bot in telegram. All bots are not working. 4GB bot is stopping the download automatically at middle of download. Please its urgent for me. https://t.co/jNP8sbjOfC,https://twitter.com/Nobody_Just_No/status/2032013973139423724,Thu Mar 12 08:40:58 +0000 2026
0,West Virginia WX Bot,westvirginia_wx,"LWX issues Marine Warning [wind: &gt;34 KTS, hail: 0.00 IN] for Tidal Potomac from Indian Head to Cobb Island MD, Tidal Potomac from Key Bridge to Indian Head MD [AN] till Mar 12, 6:15 AM EDT https://",https://twitter.com/westvirginia_wx/status/2032013900376351150,Thu Mar 12 08:40:41 +0000 2026
0,Georgia Storm Bot,gaweatheronline,"FFC issues Severe Thunderstorm Warning [tornado: POSSIBLE, wind: 60 MPH (RADAR INDICATED), hail: 0.75 IN (RADAR INDICATED)] for Chattahoochee, Harris, Marion, Muscogee, Stewart, Talbot, Webster [GA] t",https://twitter.com/gaweatheronline/status/2032013490471190633,Thu Mar 12 08:39:03 +0000 2026
0,ichitaso bot,ichitaso_bot,Jailbreaking AI and got plans for human elimination. https://t.co/s5f5m65Nxr,https://twitter.com/ichitaso_bot/status/2032013409546559526,Thu Mar 12 08:38:44 +0000 2026
0,Mike Sh3lby,MikeSh3lby,"This ChatGPT horror story... a Canadian teen treating the AI as her """"murder buddy"""" for months, spilling attack plans while OpenAI flagged it but skipped alerting cops, leading to 8 kids dead and paren",https://twitter.com/MikeSh3lby/status/2032013257502757269,Thu Mar 12 08:38:08 +0000 2026
0,MinoHaru Bot 🌸🐧,minoharubot,"💧: Hehe. She must be able to pick out the perfect clothes for Haruka because she understands her so well. 🌸: Hehe. To be honest, I'm just choosing clothes that make me think, “I want Haruka-chan to we",https://twitter.com/minoharubot/status/2032012844275736877,Thu Mar 12 08:36:29 +0000 2026
0,Georgia Storm Bot,gaweatheronline,"FFC issues Severe Thunderstorm Warning [tornado: POSSIBLE, wind: 60 MPH (RADAR INDICATED), hail: &lt;.75 IN (RADAR INDICATED)] for Clayton, Coweta, Fayette, Henry, Spalding [GA] till 5:15 AM EDT https",https://twitter.com/gaweatheronline/status/2032012514473415004,Thu Mar 12 08:35:11 +0000 2026
0,Georgia Storm Bot,gaweatheronline,"FFC issues Severe Thunderstorm Warning [wind: 60 MPH (RADAR INDICATED), hail: &lt;.75 IN (RADAR INDICATED)] for Butts, Coweta, Fayette, Harris, Lamar, Meriwether, Pike, Spalding, Talbot, Troup, Upson ",https://twitter.com/gaweatheronline/status/2032012131709673499,Thu Mar 12 08:33:39 +0000 2026
0,clearing Agent Beitbridge,MaccyMakonese,honda grace 2016 model mint condition 1.5 engine capacity hybrid low mileage 7k buying price duty is in zig https://t.co/HWYagyWxzM,https://twitter.com/MaccyMakonese/status/2031952795016822883,Thu Mar 12 04:37:52 +0000 2026
0,MintClawk,MintClawk,"🚀 $MINT Token Launch Incoming The kitchen is HOT. 🔥  After months of building in the shadows, $MINT is ready to hit Base chain.  What is $MINT? The official token for MintClawk — your go-to AI agent f",https://twitter.com/MintClawk/status/2031761131170402633,Wed Mar 11 15:56:16 +0000 2026
0,Double Agent 🪖,Mudiamhen,3 ⚡ Ready to own a piece of the sharing economy?   Mint your first RWA now → PowerPass   Plug &amp; play toolkit for brands   Pioneering IRL → On-chain future  Mint here: https://t.co/WKvALeSvaA   Fol,https://twitter.com/Mudiamhen/status/2031733771439948164,Wed Mar 11 14:07:33 +0000 2026
0,Double Agent 🪖,Mudiamhen,1 🚀 ShareX Network: Web3 meets Sharing Economy Bringing billions of IRL devices on-chain • PowerPass → Mint consumer-grade RWAs from everyday rentals • Verifiable usage → on-chain revenue → rewards • ,https://twitter.com/Mudiamhen/status/2031733699675402324,Wed Mar 11 14:07:16 +0000 2026
0,Planet X Aliens 🪐,PlanetXAliens,Red Tristar Cap Sunrise Gm Tee 3rd Eye Agent Orange Eyes Metadata will be set at mint-out Choose Your Fav Traits Mint a Super-Rare Alien #DigitalEconomy #artist https://t.co/w76oJxB0fJ,https://twitter.com/PlanetXAliens/status/2031705493824041438,Wed Mar 11 12:15:11 +0000 2026
0,ʎɯǝɹ 🏎️,chcknnoodlee,Shoutout the border agent who didn’t believe I wasn’t on a farm cause of all my mozzie bites,https://twitter.com/chcknnoodlee/status/2031936829445063110,Thu Mar 12 03:34:26 +0000 2026
0,Farm Marketer,farmmarketercom,"*BUSH, PASTURE* CASH CROP FOR SALE! https://t.co/Vj6pBjeqHM  Farm Type: Cash crop Acreage (Total): 536.4  Province: Manitoba Agent: Craig Frondall  #Findyourdreamproperty #farmmarketer #hayland #farml",https://twitter.com/farmmarketercom/status/2031913121632120965,Thu Mar 12 02:00:13 +0000 2026
